filename,width,height,class,xmin,ymin,xmax,ymax
pens_184_jpg.rf.652544c028b4bf34501dd6fa516a8531.jpg,224,224,pen,79,36,177,164
calculator_30_jpg.rf.64ddd173e367d2d7e521154e584be58a.jpg,224,224,calculator,28,80,182,118
compa_220_jpg.rf.63b5bce6e93c89b9dc776fd65225dabb.jpg,224,224,compa,12,66,216,116
pens_18_jpg.rf.6303394a187ecf405a6615a5abde8548.jpg,224,224,pen,5,97,215,121
pens_132_jpg.rf.63f4b456bd05080da3b3ec616ea785ff.jpg,224,224,pen,95,60,119,176
pens_112_jpg.rf.63f452d996031a6194406f50fc781caa.jpg,224,224,pen,69,21,141,191
pens_164_jpg.rf.63a98a353e56674b540e0f2bd1aec491.jpg,224,224,pen,123,24,136,193
ruler_36_jpg.rf.63c75591056e5969ac76c93d91abcead.jpg,224,224,ruler,7,2,222,218
pencil_115_jpg.rf.653d7a57904ce9091473f7cba34f5c48.jpg,224,224,pencil,90,70,184,182
calculator_109_jpg.rf.6461ecc7601d09b97ffb42e43af4a09a.jpg,224,224,calculator,8,39,193,188
pencil_213_jpg.rf.6466ef78b41c23ee13aac48dd73f0808.jpg,224,224,pencil,60,19,154,208
pens_175_jpg.rf.6321eec39e337f3ca89078eadeb37c45.jpg,224,224,pen,23,64,202,129
compa_174_jpg.rf.631c59a8798ef0b0b7761ec17a3af7a2.jpg,224,224,compa,64,64,166,180
pencil_235_jpg.rf.64c9e4b9e84d2d9c996d588e3e4f769b.jpg,224,224,pencil,13,89,176,118
compa_30_jpg.rf.64eee0b61944df504587112824e7ba7a.jpg,224,224,compa,26,21,205,215
compa_204_jpg.rf.65ab950da884ac32994d28c73c5b25d9.jpg,224,224,compa,16,62,214,126
ruler_222_jpg.rf.637fe64af5572a1bc4b6d676ff58362e.jpg,224,224,ruler,61,11,175,147
ruler_76_jpg.rf.638f941a6c0595feb03083e0754a2c74.jpg,224,224,ruler,4,44,221,168
compa_127_jpg.rf.6394f60d2ac3bb6b6a908e8508fa7d25.jpg,224,224,compa,72,39,116,186
calculator_203_jpg.rf.6458c1df9d1fd40f648753ea57ba5ef3.jpg,224,224,calculator,15,75,191,191
ruler_3_jpg.rf.657f93aa377a2e71d827a17341e35ed1.jpg,224,224,ruler,3,92,221,132
ruler_164_jpg.rf.65ea105b465c70ae44fdd82a4a1e1f0e.jpg,224,224,ruler,69,32,146,188
pens_91_jpg.rf.65b472138f6800f53a7f7f54be91a42d.jpg,224,224,pen,101,3,122,215
pens_43_jpg.rf.63b5cd9c80ec6ac81421a023661b3968.jpg,224,224,pen,102,11,124,196
pencil_140_jpg.rf.65a39b4bc981e2757eb99593227c4934.jpg,224,224,pencil,101,44,119,194
ruler_73_jpg.rf.6577eb054fa565a76e233aa10ede8fdb.jpg,224,224,ruler,7,6,218,218
